PriceSet,Revenue,P1,P2,P1^2,P2^2,P1_P2
0,11263.973687170777,320.6870860314291,345.200380049055,102840.2071473292,119163.30238601202,110701.30397487333
1,15249.243559143537,337.04338039714224,223.19834906342118,113598.24026953273,49817.503024636804,75227.5260673968
2,10821.319126544618,361.5807067838457,349.1169160687666,130740.6075183054,121882.62108536623,126233.94126234116
3,13433.587736482154,220.9519427815673,357.70060951215,48819.76101894899,127949.7260453636,79034.64460586032
4,14757.853413680481,232.39102274111178,312.58385998736304,54005.587450659936,97708.66952459938,72641.68291482779
5,21346.224192224738,267.0661945571398,129.5222687662079,71324.35227523204,16776.018106345793,34591.01942979823
6,14219.084315659185,295.5488914233776,266.8510867760271,87349.14722158744,71209.50251354674,78867.54287177835
7,21665.8447848081,285.0315293507333,108.6954735576233,81242.97272401795,11814.705971915986,30981.63706163156
8,10631.245225362496,324.0466960305305,336.2019657758421,105006.26120830303,113031.7617915405,108945.13620863111
9,20069.909965538427,285.4356844521068,152.10368655717394,81473.52995864267,23135.531464283016,43415.819880135656
10,21578.067073807077,296.03485620562736,107.03105876379544,87636.63608868647,11455.647540099033,31684.924090676235
11,11011.640057956645,363.5113037020308,315.79157212066724,132140.46791915005,99724.31702244258,114793.80607969762
12,16957.364075813588,322.0003748701996,188.8042037723265,103684.24141654908,35647.02736210219,60795.02439175869
13,12974.139431494059,359.81453374554314,242.89673888350245,129466.49869452261,58998.82576024037,87397.77684968038
14,12247.602862052714,364.48346746037834,263.49746486558024,132848.19805194068,69430.9139905877,96040.4696612259
15,12919.631056014461,357.0687878923048,254.67029612696564,127498.11928687974,64856.95972939637,90934.81395022995
16,12135.29300508244,290.9575155975787,351.1061106508104,84656.27588271526,123275.50093633913,102156.96166608838
17,13779.122581952843,313.6286942917242,256.4216060635725,98362.95788313178,65752.04005622196,80421.1734979051
18,15539.892072301487,256.3804015421135,261.93896120008486,65730.91029489534,68612.01939457956,67156.01605200184
19,19727.735585816856,319.0734130238011,143.6525709390351,101807.84289865717,20636.061137394507,45835.716099161626
20,15698.718416925747,227.65136519662343,256.2256665098253,51825.14407588641,65651.59217840421,58330.12277937649
21,14299.416808293543,353.3704138596754,234.50163217976075,124870.64939135828,54991.0154949718,82865.93881413143
22,15015.946649074902,257.5025953282819,272.90622369267413,66307.58660080092,74477.80693019589,70274.06088210426
23,17192.629774772788,231.31499763760507,212.61398797139253,53506.62813208524,45204.70788109945,49180.80412532446
24,21996.73299361212,246.18138141590276,143.55077803392626,60605.272555842195,20606.82587414557,35339.5288397196
25,18222.573870874814,253.1318904933517,197.8214542393285,64075.7539847382,39133.327757362735,50074.91869174528
26,17847.92438770698,226.1449453541084,200.7963441384431,51141.53630921267,40319.17181936407,45409.07827249295
27,14630.094213339225,308.3781408457834,223.73940654073868,95097.07775150181,50059.32203920194,68996.3422229719
28,12151.667762490393,285.3586813336869,319.2278446599226,81429.57701250067,101906.41680621967,91094.43679715056
29,17216.10280806949,242.96030021559113,229.75082100507706,59029.70748085017,52785.43975250696,55820.32844617206
30,24223.500087400527,228.08958769224955,113.14726134782529,52024.8600136204,12802.30275051308,25807.712189332677
31,14039.800171503563,319.47661810081297,245.9373757627589,102065.3095131327,60485.19279707247,78571.24107327506
32,13646.596489264835,373.7862166782504,243.7518360539122,139716.13577863996,59414.95757965329,91111.076606969
33,20272.051930829693,388.3841439202848,107.1201835912676,150842.2432486925,11474.733732626877,41603.78080067821
34,24380.650030837285,234.51141947910003,105.878053938799,54995.605866102414,11210.16230586723,24829.612720872472
35,16627.798036974393,250.09346163310974,239.29648095509197,62546.739551631734,57262.80579749069,59846.48527868047
36,21291.04921256423,332.2798926247005,106.28573776937561,110409.9270426825,11296.658053180478,35316.613533545205
37,11034.084766909678,385.9165386030565,320.03789275570927,148931.5747673644,102424.25279951487,123507.91579409954
38,22216.068051239727,269.9726079195299,114.76583182452242,72885.20902687221,13171.196154374564,30983.630917720497
39,22068.757657265356,247.34559353766429,128.11745772474393,61179.84264249943,16414.08297385155,31689.2886234634
40,17421.411290019656,239.0245045736645,233.20296509333247,57132.71378668576,54383.62292832204,55741.22319654337
41,17765.051771492534,260.9084329273781,190.1557722980592,68073.21037262016,36159.217738271334,49613.24456238196
42,11595.022004584142,393.68967966696783,277.68055331130086,154991.56387627975,77106.4896872702,109319.96808287242
43,18903.274513690332,386.45393889707043,132.30677697195432,149346.64688906065,17505.083232706464,51130.47510358796
44,15135.365170323,285.24358245828216,242.90875462198306,81363.90133363481,59004.663072002775,69288.16337885425
45,24935.625238393975,230.71726701341987,95.17718844840118,53230.45729814168,9058.697200942472,21959.020800836355
46,12711.245123292274,336.7190677194413,266.2776332364628,113379.73056584969,70903.7779620122,89660.75641792107
47,15856.012137495058,290.35896479784543,225.4432920906712,84308.32843847644,50824.677948679695,65459.480912065585
48,22675.09686191509,291.18997760225807,100.49498930175757,84791.60305600356,10099.242874760368,29263.13368391795
49,19547.962155937457,276.89310843234585,141.57130888222787,76669.79349732684,20042.435498627172,39200.11978123585
